timestamps,TP9,Fp1,Fp2,TP10,Marker
1685051969.6206865,-1000.0,-1000.0,-406.73828125,528.3203125,0
1685051969.6244032,-226.07421875,-421.875,-233.88671875,-845.21484375,0
1685051969.62812,-823.73046875,-979.4921875,-78.125,-1000.0,0
1685051969.6318364,357.421875,602.5390625,-136.71875,-355.95703125,0
1685051969.635553,-958.0078125,-749.0234375,-275.390625,-968.26171875,0
1685051969.6392696,-1000.0,-1000.0,-278.80859375,785.64453125,0
1685051969.6429863,-252.44140625,-538.57421875,-197.75390625,-579.1015625,0
1685051969.6467028,-852.05078125,871.09375,-85.44921875,-1000.0,0
1685051969.6504192,522.94921875,791.9921875,-15.625,-422.8515625,0
1685051969.654136,-870.1171875,-573.2421875,-40.52734375,939.453125,0
1685051969.6578526,-1000.0,-1000.0,-311.5234375,965.8203125,0
1685051969.661569,-221.19140625,-667.96875,-360.3515625,-336.42578125,0
1685051969.6652598,-917.48046875,669.921875,-80.078125,-1000.0,0
1685051969.6689506,781.25,975.09765625,-16.6015625,-666.015625,0
1685051969.6726413,-568.84765625,-341.30859375,-243.1640625,659.1796875,0
1685051969.676332,-1000.0,-1000.0,-396.484375,-856.93359375,0
1685051969.6800227,-261.71875,-814.453125,-281.73828125,-52.24609375,0
1685051969.6837134,995.1171875,437.98828125,-29.296875,-1000.0,0
1685051969.6874044,989.2578125,-896.97265625,19.04296875,-850.5859375,0
1685051969.691095,-241.69921875,-141.11328125,-179.6875,422.8515625,0
1685051969.6947858,-1000.0,-1000.0,-190.91796875,-794.43359375,0
1685051969.6984766,-415.52734375,-924.31640625,-95.21484375,134.27734375,0
1685051969.7021673,895.99609375,230.95703125,-127.44140625,-1000.0,0
1685051969.705858,-911.62109375,-832.51953125,-65.91796875,-1000.0,0
1685051969.709606,-31.25,3.90625,-150.87890625,208.49609375,0
1685051969.7133539,-1000.0,-1000.0,-349.609375,-774.4140625,0
1685051969.7171018,-604.00390625,-1000.0,-392.08984375,128.90625,0
1685051969.7208498,748.53515625,36.1328125,-163.57421875,-1000.0,0
1685051969.7245977,-846.6796875,-808.59375,31.25,-1000.0,0
1685051969.7283454,137.6953125,113.28125,-79.58984375,-35.64453125,0
1685051969.7320933,-1000.0,-1000.0,-294.921875,-786.1328125,0
1685051969.7358413,-867.1875,-1000.0,-293.9453125,149.4140625,0
1685051969.7395892,458.49609375,-119.140625,-32.71484375,-1000.0,0
1685051969.7433372,-795.41015625,-811.03515625,40.52734375,-1000.0,0
1685051969.747085,149.90234375,224.12109375,-145.99609375,-222.16796875,0
1685051969.750833,-1000.0,-1000.0,-269.53125,-820.3125,0
1685051969.75458,-1000.0,-1000.0,-274.4140625,248.53515625,0
1685051969.758327,179.6875,-209.9609375,-232.421875,-1000.0,0
1685051969.762074,-769.04296875,-835.9375,-62.5,-1000.0,0
1685051969.765821,138.671875,343.75,-61.03515625,-257.8125,0
1685051969.769568,-1000.0,-937.01171875,-278.80859375,-838.8671875,0
1685051969.773315,-1000.0,-1000.0,-321.2890625,423.828125,0
1685051969.7770622,-36.1328125,-309.5703125,-176.7578125,-920.41015625,0
1685051969.7808092,-781.25,-898.92578125,86.9140625,-1000.0,0
1685051969.7845562,269.53125,510.25390625,95.21484375,-306.640625,0
1685051969.7883031,-979.00390625,-810.05859375,-300.29296875,-905.76171875,0
1685051969.7920501,-1000.0,-1000.0,-395.99609375,646.484375,0
1685051969.795797,-193.359375,-390.625,-174.31640625,-732.91015625,0
1685051969.7995398,-828.125,-987.79296875,-13.671875,-1000.0,0
1685051969.8032825,469.7265625,703.61328125,-96.6796875,-426.7578125,0
1685051969.807025,-893.06640625,-625.48828125,-255.37109375,983.88671875,0
1685051969.8107677,-1000.0,-1000.0,-279.78515625,831.54296875,0
1685051969.8145103,-232.421875,-515.13671875,-246.09375,-539.55078125,0
1685051969.818253,-893.06640625,858.3984375,-71.77734375,-1000.0,0
1685051969.8219957,694.82421875,885.25390625,39.55078125,-523.92578125,0
1685051969.8257384,-688.4765625,-430.17578125,-81.54296875,856.4453125,0
1685051969.8294811,-1000.0,-1000.0,-325.68359375,-977.05078125,0
1685051969.8332236,-198.2421875,-664.0625,-361.81640625,-289.0625,0
1685051969.8369663,-957.03125,650.390625,-90.33203125,-1000.0,0
1685051969.840709,913.57421875,-965.33203125,-21.484375,-785.15625,0
1685051969.8445704,-364.74609375,-222.65625,-240.72265625,501.953125,0
1685051969.848432,-1000.0,-1000.0,-378.90625,-821.2890625,0
1685051969.8522935,-273.92578125,-827.63671875,-221.6796875,-5.859375,0
1685051969.856155,970.21484375,412.59765625,-22.4609375,-1000.0,0
1685051969.8600166,-956.54296875,-866.69921875,-45.8984375,-949.21875,0
1685051969.863878,-112.3046875,-68.359375,-167.48046875,282.2265625,0
1685051969.8677394,-1000.0,-1000.0,-175.29296875,-785.15625,0
1685051969.871601,-437.98828125,-943.359375,-168.45703125,73.2421875,0
1685051969.8754625,881.34765625,194.82421875,-178.7109375,-1000.0,0
1685051969.879324,-895.01953125,-819.82421875,-53.7109375,-1000.0,0
1685051969.8831856,47.8515625,47.36328125,-133.7890625,46.38671875,0
1685051969.887047,-1000.0,-1000.0,-353.515625,-775.390625,0
1685051969.8918679,-662.109375,-1000.0,-416.015625,134.27734375,0
1685051969.896689,699.21875,-11.23046875,-204.1015625,-1000.0,0
1685051969.9015098,-833.984375,-806.640625,-24.90234375,-1000.0,0
1685051969.9063306,154.78515625,145.01953125,-154.78515625,-166.50390625,0
1685051969.9111516,-1000.0,-1000.0,-338.8671875,-808.10546875,0
1685051969.9159725,-937.5,-1000.0,-302.24609375,189.94140625,0
1685051969.9207933,357.421875,-162.109375,47.36328125,-1000.0,0
1685051969.9256144,-782.71484375,-816.89453125,134.27734375,-1000.0,0
1685051969.9304352,143.06640625,255.37109375,-139.6484375,-240.234375,0
1685051969.935256,-1000.0,-989.2578125,-306.640625,-826.171875,0
1685051969.940077,-1000.0,-1000.0,-332.51953125,291.9921875,0
1685051969.944898,86.42578125,-254.39453125,-221.19140625,-986.81640625,0
1685051969.9486892,-768.5546875,-853.515625,-93.26171875,-1000.0,0
1685051969.9524803,138.671875,375.48828125,-89.84375,-256.8359375,0
1685051969.9562716,-1000.0,-917.48046875,-282.71484375,-844.23828125,0
1685051969.960063,-1000.0,-1000.0,-417.96875,449.70703125,0
1685051969.963854,-118.1640625,-351.5625,-281.73828125,-926.26953125,0
1685051969.9676454,-794.921875,-922.36328125,-11.23046875,-1000.0,0
1685051969.9714367,303.7109375,541.50390625,26.85546875,-246.58203125,0
1685051969.9752278,-967.7734375,-791.015625,-227.5390625,-936.5234375,0
1685051969.9790192,-1000.0,-1000.0,-416.015625,678.22265625,0
1685051969.9828105,-255.37109375,-497.55859375,-146.97265625,-701.66015625,0
